state,district,hindi_state,hindi_district,kannada_state,kannada_district,telugu_state,telugu_district,malayalam_state,malayalam_district,tamil_state,tamil_district,marathi_state,marathi_district,gujarati_state,gujarati_district,punjabi_state,punjabi_district,bengali_state,bengali_district,assamese_state,assamese_district,odia_state,odia_district
Andaman and Nicobar Islands,Nicobars,अंडमान और निकोबार द्वीप समूह,निकोबार,ಅಂಡಮಾನ ಔರ ನಿಕೋಬಾರ ದ್ವೀಪ ಸಮೂಹ,ನಿಕೋಬಾರ,అండమాన ఔర నికోబార ద్వీప సమూహ,నికోబార,അംഡമാന ഔര നികോബാര ദ്വീപ സമൂഹ,നികോബാര,அண்டமாந ஔர நிகோபார த்வீப ஸமூஹ,நிகோபார,अंडमान और निकोबार द्वीप समूह,निकोबार,અંડમાન ઔર નિકોબાર દ્વીપ સમૂહ,નિકોબાર,ਅਂਡਮਾਨ ਔਰ ਨਿਕੋਬਾਰ ਦ੍ਵੀਪ ਸਮੂਹ,ਨਿਕੋਬਾਰ,অংডমান ঔর নিকোবার দ্বীপ সমূহ,নিকোবার,অংডমান ঔৰ নিকোবাৰ দ্ৱীপ সমূহ,নিকোবাৰ,ଅଂଡମାନ ଔର ନିକୋବାର ଦ୍ଵୀପ ସମୂହ,ନିକୋବାର
Andaman and Nicobar Islands,North and Middle Andaman,अंडमान और निकोबार द्वीप समूह,उत्तर और मध्य अंडमान,ಅಂಡಮಾನ ಔರ ನಿಕೋಬಾರ ದ್ವೀಪ ಸಮೂಹ,ಉತ್ತರ ಔರ ಮಧ್ಯ ಅಂಡಮಾನ,అండమాన ఔర నికోబార ద్వీప సమూహ,ఉత్తర ఔర మధ్య అండమాన,അംഡമാന ഔര നികോബാര ദ്വീപ സമൂഹ,ഉത്തര ഔര മധ്യ അംഡമാന,அண்டமாந ஔர நிகோபார த்வீப ஸமூஹ,உத்தர ஔர மத்ய அண்டமாந,अंडमान और निकोबार द्वीप समूह,उत्तर और मध्य अंडमान,અંડમાન ઔર નિકોબાર દ્વીપ સમૂહ,ઉત્તર ઔર મધ્ય અંડમાન,ਅਂਡਮਾਨ ਔਰ ਨਿਕੋਬਾਰ ਦ੍ਵੀਪ ਸਮੂਹ,ਉਤ੍ਤਰ ਔਰ ਮਧ੍ਯ ਅਂਡਮਾਨ,অংডমান ঔর নিকোবার দ্বীপ সমূহ,উত্তর ঔর মধ্য অংডমান,অংডমান ঔৰ নিকোবাৰ দ্ৱীপ সমূহ,উত্তৰ ঔৰ মধ্য অংডমান,ଅଂଡମାନ ଔର ନିକୋବାର ଦ୍ଵୀପ ସମୂହ,ଉତ୍ତର ଔର ମଧ୍ଯ ଅଂଡମାନ
Andaman and Nicobar Islands,South Andamans,अंडमान और निकोबार द्वीप समूह,दक्षिण अंडमान,ಅಂಡಮಾನ ಔರ ನಿಕೋಬಾರ ದ್ವೀಪ ಸಮೂಹ,ದಕ್ಷಿಣ ಅಂಡಮಾನ,అండమాన ఔర నికోబార ద్వీప సమూహ,దక్షిణ అండమాన,അംഡമാന ഔര നികോബാര ദ്വീപ സമൂഹ,ദക്ഷിണ അംഡമാന,அண்டமாந ஔர நிகோபார த்வீப ஸமூஹ,தக்ஷிண அண்டமாந,अंडमान और निकोबार द्वीप समूह,दक्षिण अंडमान,અંડમાન ઔર નિકોબાર દ્વીપ સમૂહ,દક્ષિણ અંડમાન,ਅਂਡਮਾਨ ਔਰ ਨਿਕੋਬਾਰ ਦ੍ਵੀਪ ਸਮੂਹ,ਦਕ੍ਸ਼ਿਣ ਅਂਡਮਾਨ,অংডমান ঔর নিকোবার দ্বীপ সমূহ,দক্ষিণ অংডমান,অংডমান ঔৰ নিকোবাৰ দ্ৱীপ সমূহ,দক্ষিণ অংডমান,ଅଂଡମାନ ଔର ନିକୋବାର ଦ୍ଵୀପ ସମୂହ,ଦକ୍ଷିଣ ଅଂଡମାନ
Andhra Pradesh,Alluri Sitharama Raju,आंध्र प्रदेश,अल्लूरी सीताराम राजू,ಆಂಧ್ರ ಪ್ರದೇಶ,ಅಲ್ಲೂರೀ ಸೀತಾರಾಮ ರಾಜೂ,ఆంధ్ర ప్రదేశ,అల్లూరీ సీతారామ రాజూ,ആംധ്ര പ്രദേശ,അല്ലൂരീ സീതാരാമ രാജൂ,ஆந்த்ர ப்ரதேஶ,அல்லூரீ ஸீதாராம ராஜூ,आंध्र प्रदेश,अल्लूरी सीताराम राजू,આંધ્ર પ્રદેશ,અલ્લૂરી સીતારામ રાજૂ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਅਲ੍ਲੂਰੀ ਸੀਤਾਰਾਮ ਰਾਜੂ,আংধ্র প্রদেশ,অল্লূরী সীতারাম রাজূ,আংধ্ৰ প্ৰদেশ,অল্লূৰী সীতাৰাম ৰাজূ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଅଲ୍ଲୂରୀ ସୀତାରାମ ରାଜୂ
Andhra Pradesh,Anakapalli,आंध्र प्रदेश,अनकापल्ली,ಆಂಧ್ರ ಪ್ರದೇಶ,ಅನಕಾಪಲ್ಲೀ,ఆంధ్ర ప్రదేశ,అనకాపల్లీ,ആംധ്ര പ്രദേശ,അനകാപല്ലീ,ஆந்த்ர ப்ரதேஶ,அநகாபல்லீ,आंध्र प्रदेश,अनकापल्ली,આંધ્ર પ્રદેશ,અનકાપલ્લી,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਅਨਕਾਪਲ੍ਲੀ,আংধ্র প্রদেশ,অনকাপল্লী,আংধ্ৰ প্ৰদেশ,অনকাপল্লী,ଆଂଧ୍ର ପ୍ରଦେଶ,ଅନକାପଲ୍ଲୀ
Andhra Pradesh,Anantapur,आंध्र प्रदेश,अनंतपुर,ಆಂಧ್ರ ಪ್ರದೇಶ,ಅನಂತಪುರ,ఆంధ్ర ప్రదేశ,అనంతపుర,ആംധ്ര പ്രദേശ,അനംതപുര,ஆந்த்ர ப்ரதேஶ,அநந்தபுர,आंध्र प्रदेश,अनंतपुर,આંધ્ર પ્રદેશ,અનંતપુર,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਅਨਂਤਪੁਰ,আংধ্র প্রদেশ,অনংতপুর,আংধ্ৰ প্ৰদেশ,অনংতপুৰ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଅନଂତପୁର
Andhra Pradesh,Annamayya,आंध्र प्रदेश,अन्नमय्या,ಆಂಧ್ರ ಪ್ರದೇಶ,ಅನ್ನಮಯ್ಯಾ,ఆంధ్ర ప్రదేశ,అన్నమయ్యా,ആംധ്ര പ്രദേശ,അന്നമയ്യാ,ஆந்த்ர ப்ரதேஶ,அந்நமய்யா,आंध्र प्रदेश,अन्नमय्या,આંધ્ર પ્રદેશ,અન્નમય્યા,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਅਨ੍ਨਮਯ੍ਯਾ,আংধ্র প্রদেশ,অন্নময্যা,আংধ্ৰ প্ৰদেশ,অন্নময্যা,ଆଂଧ୍ର ପ୍ରଦେଶ,ଅନ୍ନମଯ୍ଯା
Andhra Pradesh,Bapatla,आंध्र प्रदेश,बापटला,ಆಂಧ್ರ ಪ್ರದೇಶ,ಬಾಪಟಲಾ,ఆంధ్ర ప్రదేశ,బాపటలా,ആംധ്ര പ്രദേശ,ബാപടലാ,ஆந்த்ர ப்ரதேஶ,பாபடலா,आंध्र प्रदेश,बापटला,આંધ્ર પ્રદેશ,બાપટલા,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਬਾਪਟਲਾ,আংধ্র প্রদেশ,বাপটলা,আংধ্ৰ প্ৰদেশ,বাপটলা,ଆଂଧ୍ର ପ୍ରଦେଶ,ବାପଟଲା
Andhra Pradesh,Chittoor,आंध्र प्रदेश,चित्तूर,ಆಂಧ್ರ ಪ್ರದೇಶ,ಚಿತ್ತೂರ,ఆంధ్ర ప్రదేశ,చిత్తూర,ആംധ്ര പ്രദേശ,ചിത്തൂര,ஆந்த்ர ப்ரதேஶ,சித்தூர,आंध्र प्रदेश,चित्तूर,આંધ્ર પ્રદેશ,ચિત્તૂર,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਚਿਤ੍ਤੂਰ,আংধ্র প্রদেশ,চিত্তূর,আংধ্ৰ প্ৰদেশ,চিত্তূৰ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଚିତ୍ତୂର
Andhra Pradesh,East Godavari,आंध्र प्रदेश,पूर्वी गोदावरी,ಆಂಧ್ರ ಪ್ರದೇಶ,ಪೂರ್ವೀ ಗೋದಾವರೀ,ఆంధ్ర ప్రదేశ,పూర్వీ గోదావరీ,ആംധ്ര പ്രദേശ,പൂര്വീ ഗോദാവരീ,ஆந்த்ர ப்ரதேஶ,பூர்வீ கோதாவரீ,आंध्र प्रदेश,पूर्वी गोदावरी,આંધ્ર પ્રદેશ,પૂર્વી ગોદાવરી,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਪੂਰ੍ਵੀ ਗੋਦਾਵਰੀ,আংধ্র প্রদেশ,পূর্বী গোদাবরী,আংধ্ৰ প্ৰদেশ,পূৰ্ৱী গোদাৱৰী,ଆଂଧ୍ର ପ୍ରଦେଶ,ପୂର୍ଵୀ ଗୋଦାଵରୀ
